algorithm,K,dataset,seed,runtime,best,eval_reward
ppo,-1,online,98143,6.484548022150993,-76674.5546875,"[-216360.65625   -162070.5       -141915.578125  -144226.765625
 -138476.625     -144288.40625   -144657.921875  -137600.234375
 -135963.8125    -129219.3828125 -134600.5       -124418.3984375
 -128319.6953125 -101590.203125   -82503.7578125  -79927.9453125
  -96878.609375   -90788.75       -92526.375      -93790.671875
  -85606.5        -76674.5546875  -84834.46875    -91493.7890625
  -80306.609375   -92006.375     -105150.8359375  -78145.46875
  -82341.109375   -83891.2109375  -95051.5703125  -99777.3984375
  -96365.7734375]"
ppo,-1,online,10528,6.482031184236209,-73652.1015625,"[-186893.265625  -202707.34375   -203559.859375  -189669.265625
 -173953.03125   -164168.21875   -158677.109375  -132838.359375
 -131999.234375  -112033.6796875 -112846.625     -102368.3203125
  -84993.6484375  -95942.6796875  -82373.1875    -101634.375
  -88082.859375   -92214.0625     -78485.703125   -80042.7890625
  -84860.3828125  -73984.9765625  -73652.1015625  -82110.2265625
  -88668.5625     -98983.359375   -96680.2890625  -94365.4375
  -93277.8046875  -99645.8828125  -89918.7734375  -85604.515625
  -87092.3828125]"
ppo,-1,online,89671,6.478787871996562,-84039.7109375,"[-197331.5625    -166041.734375  -127511.0625    -117055.4453125
 -125234.390625  -114465.515625  -103079.6953125  -99211.2578125
 -102997.390625  -121614.5703125 -108406.15625   -100172.5078125
 -104966.359375  -111460.359375  -103815.3125    -112357.734375
 -115529.84375   -117226.640625  -122093.4453125 -132123.765625
 -115179.6328125 -109408.71875   -122387.8046875 -116883.5390625
 -131505.921875  -118797.7890625  -92550.6640625 -100616.125
  -99100.8828125  -84039.7109375  -86553.984375   -92353.40625
  -85215.2265625]"
ppo,-1,online,88083,6.476389173600409,-72946.5234375,"[-209623.015625  -187065.171875  -169084.59375   -137012.40625
 -126586.515625   -98623.65625    -80429.         -77052.890625
  -92048.53125    -87168.3984375  -86318.6328125  -86897.296875
  -83489.8203125  -89193.1875     -79953.9453125  -72946.5234375
  -82813.8671875  -83747.859375   -84569.3203125  -99540.046875
  -91165.6640625  -80722.890625   -81869.9375     -86891.453125
  -84410.3671875  -78729.2578125  -76004.265625   -73802.5859375
  -80286.3359375  -85011.6875     -86398.1875     -98405.0234375
  -97345.640625 ]"
ppo,-1,online,27800,6.479406555692355,-85253.53125,"[-170577.796875  -176161.546875  -147280.203125  -143136.96875
 -110646.4375     -99472.578125   -98111.3046875 -110550.890625
  -97476.765625   -85253.53125    -97337.1328125  -99356.2734375
  -97638.3828125 -100088.15625   -111874.2265625 -118830.3984375
 -127756.390625  -120379.8828125 -125132.515625  -107841.6953125
 -114936.8828125 -106490.0390625 -111790.703125  -125302.2734375
  -95731.21875    -93011.2578125  -99571.1875    -107539.125
 -100403.609375  -100265.6796875  -93700.265625  -105960.890625
 -116418.796875 ]"
td3,-1,online,20232,6.454887545175023,-319333.09375,"[-333283.96875 -337985.75    -334599.96875 -330002.34375 -333639.4375
 -321469.21875 -339689.      -334645.03125 -326075.34375 -333711.03125
 -347852.59375 -327028.875   -329500.25    -333323.0625  -325088.4375
 -335228.3125  -338791.8125  -342508.71875 -343955.125   -328209.46875
 -332748.1875  -319333.09375 -337483.34375 -332984.125   -331986.0625
 -337315.125   -341796.71875 -328139.6875  -332330.625   -338855.40625
 -332009.25    -321480.53125 -327271.15625]"
td3,-1,online,20606,6.424552979601754,-358348.71875,"[-383651.625   -375348.96875 -376855.625   -369045.59375 -371579.34375
 -366490.46875 -358348.71875 -375290.75    -362230.96875 -368068.125
 -376416.78125 -385596.53125 -371905.46875 -374729.8125  -372509.53125
 -381573.5     -379875.75    -372394.6875  -380450.      -378670.78125
 -380638.03125 -386194.875   -376126.75    -378175.625   -362011.34375
 -380971.625   -372132.15625 -370774.65625 -397298.15625 -369092.5625
 -388661.5     -372474.0625  -386762.9375 ]"
td3,-1,online,92761,6.458148475355572,-334562.8125,"[-356484.21875 -342770.78125 -339584.78125 -348216.15625 -351179.
 -339653.1875  -334562.8125  -357766.65625 -355527.6875  -344706.71875
 -347243.125   -341337.71875 -338527.625   -346998.4375  -336628.03125
 -346232.9375  -334925.84375 -356588.84375 -348600.6875  -347384.90625
 -346703.15625 -352563.21875 -337032.78125 -344415.53125 -349962.375
 -339855.96875 -344729.8125  -343232.25    -344326.      -356149.46875
 -344259.90625 -345830.03125 -348393.34375]"
td3,-1,online,17921,6.430565003156662,-383637.3125,"[-409278.5625  -401976.0625  -410863.375   -398116.40625 -389444.84375
 -399758.21875 -399812.78125 -395828.9375  -395658.75    -399414.125
 -393914.53125 -389809.53125 -405690.21875 -398446.84375 -406179.
 -389094.125   -388434.15625 -387387.      -394170.34375 -391765.84375
 -389851.1875  -397370.625   -406061.34375 -397524.1875  -391905.1875
 -400602.84375 -396321.8125  -394040.59375 -383637.3125  -398849.875
 -387610.96875 -392977.6875  -406867.40625]"
td3,-1,online,1635,6.404446309407552,-403353.6875,"[-403353.6875  -436766.09375 -422562.375   -429125.25    -429437.84375
 -425083.40625 -423276.5625  -410381.      -412925.78125 -414979.9375
 -417029.25    -422634.71875 -424402.0625  -412776.28125 -431453.375
 -415504.1875  -428578.3125  -431740.96875 -422729.84375 -417837.0625
 -426088.09375 -434427.84375 -417970.9375  -414517.      -422548.25
 -419858.46875 -422304.125   -424315.75    -429955.5625  -428225.
 -424301.375   -411021.59375 -423193.375  ]"
