algorithm   ,K   ,dataset         ,seed ,max_reward       ,profits       ,user_satisfaction ,power_violation ,runtime             ,epochs ,max_reward_epoch
gnn_act_emb , 10 ,random_1000     ,  40 ,-118702.06485336 ,-170.14514221 ,       0.81591975 ,   101.409435   ,39.71010697193416   ,   136 ,               3
gnn_act_emb , 10 ,random_10000    ,  50 ,-98726.8951853   ,-240.330446   ,       0.85365802 ,    10.6943134  ,39.84732708147389   ,   137 ,              20
gnn_act_emb , 25 ,bau_1000        ,  30 ,-62711.40109143  ,-370.59996289 ,       0.99779783 ,   389.08824269 ,39.95156368275028   ,    59 ,              11
gnn_act_emb , 25 ,optimal_1000    ,  20 ,-20665.83181867  ,-253.10282661 ,       0.98969776 ,   187.92787452 ,39.84748949547917   ,    59 ,              54
gnn_act_emb , 25 ,random_1000     ,  10 ,-124564.18365015 ,-169.645373   ,       0.79628443 ,    36.6548494  ,39.98489270821583   ,    59 ,              14
gnn_act_emb , 50 ,bau_1000        ,  30 ,-32890.70560924  ,-292.71956765 ,       0.96682956 ,   167.93866302 ,39.11785627404806   ,    28 ,              10
gnn_act_emb , 50 ,optimal_1000    ,  30 ,-49666.520899    ,-295.05412004 ,       0.99328889 ,   421.34656619 ,39.00470448775555   ,    28 ,              26
gnn_act_emb , 50 ,random_1000     ,  30 ,-88978.82960337  ,-216.76649695 ,       0.8477953  ,    12.9042397  ,39.13648130501556   ,    28 ,              24
gnn_act_emb ,100 ,bau_1000        ,  30 ,-62914.25062506  ,-362.77578485 ,       0.99049329 ,   387.3713492  ,38.85019901661278   ,    11 ,              10
gnn_act_emb ,100 ,optimal_1000    ,  30 ,-63198.9852881   ,-239.20496914 ,       0.97275161 ,   546.81127059 ,38.738628076219165  ,    11 ,               8
gnn_act_emb ,100 ,random_1000     ,  20 ,-131046.62021049 ,-313.23062826 ,       0.90795202 ,   524.414871   ,38.78230952152639   ,    11 ,               3
