algorithm   ,K ,dataset          ,seed ,max_reward       ,profits        ,user_satisfaction ,power_violation ,runtime            ,epochs ,max_reward_epoch
gnn_act_emb ,2 ,bau_250_3000     ,  10 ,-4.2335915430116 ,-2183.42878886 ,       0.99819243 ,   908.64329992 , 45.52520670053028 ,    77 ,              46
gnn_act_emb ,2 ,optimal_250_3000 ,  60 ,-0.2753149568402 ,-1393.52253519 ,       0.99781815 ,   146.58209289 ,112.85248255272708 ,   177 ,             128
gnn_act_emb ,2 ,random_250_3000  ,  60 ,-9.3439587549419 ,-1129.45706    ,       0.83901409 ,    19.1542262  , 45.0623366124     ,    58 ,               7
